,name,country,subcountry,geonameid,lat,lng
12590,Gotsucho,Japan,Shimane,1863521,35.0114175,132.2209303
12591,Gotenba,Japan,Shizuoka,1863528,35.3087148,138.93487
12592,Gosen,Japan,Niigata,1863540,37.7445357,139.1825675
12593,Gose,Japan,Nara,1863541,34.4633305,135.7402402
12594,Gojo,Japan,Nara,1863592,34.3520304,135.6936323
12595,Godo,Japan,Gifu,1863611,35.4173682,136.6084587
12596,Gobo,Japan,Wakayama,1863614,33.8914924,135.1523464
12597,Ginowan,Japan,Okinawa,1863627,26.2815751,127.7786343
12598,Gifu-shi,Japan,Gifu,1863641,35.4232984,136.7606537
12599,Gamagori,Japan,Aichi,1863693,34.8265004,137.2195158
12600,Futtsu,Japan,Chiba,1863713,35.3041204,139.8571048
12601,Honcho,Japan,Chiba,1863905,35.6100622,140.126314
12602,Fukuyama,Japan,Hiroshima,1863917,34.4858993,133.3623127
12603,Fukuroi,Japan,Shizuoka,1863945,34.7501735,137.9246792
12604,Fukura,Japan,Hyogo,1863953,34.2568635,134.715179
12605,Fukuoka,Japan,Fukuoka,1863967,33.5903547,130.4017155
12606,Fukumitsu,Japan,Toyama,1863973,36.55916000000001,136.873169
12607,Nishifukuma,Japan,Fukuoka,1863978,33.764338,130.4720973
12608,Fukui-shi,Japan,Fukui,1863985,36.0640669,136.2194938
12609,Fukuecho,Japan,Nagasaki,1863997,32.698974,128.8464149
12610,Fukuchiyama,Japan,Kyoto,1864009,35.2967,135.1265628
12611,Fukiage-fujimi,Japan,Saitama,1864025,36.0979376,139.4522594
12612,Fukayacho,Japan,Saitama,1864031,36.1952744,139.2791584
12613,Fujisawa,Japan,Kanagawa,1864092,35.3391703,139.490036
12614,Fujioka,Japan,Tochigi,1864098,36.255616,139.645558
12615,Fujioka,Japan,Gunma,1864099,36.2584765,139.0744386
12616,Fujinomiya,Japan,Shizuoka,1864105,35.2220541,138.6216428
12617,Fujieda,Japan,Shizuoka,1864132,34.8673673,138.2574584
12618,Fuji,Japan,Shizuoka,1864134,35.1613985,138.6762728
12619,Fuchucho,Japan,Hiroshima,1864155,34.3924864,132.5045797
12620,Enzan,Japan,Yamanashi,1864180,35.705404,138.734381
12621,Daitocho,Japan,osaka,1864416,34.7226934,135.5286653
12622,Chofugaoka,Japan,Tokyo,1864518,35.6553472,139.5476397
12623,Chiryu,Japan,Aichi,1864549,35.0012715,137.0507493
12624,Chino,Japan,Nagano,1864557,35.9955706,138.158893
12625,Chikushino-shi,Japan,Fukuoka,1864572,33.4963423,130.5156572
12626,Chigasaki,Japan,Kanagawa,1864624,35.3338429,139.4036386
12627,Chichibu,Japan,Saitama,1864637,35.9916885,139.0854418
12628,Chatan,Japan,Okinawa,1864652,26.3201191,127.7637755
12629,Beppu,Japan,Oita,1864750,33.28462,131.4912138
12630,Ayabe,Japan,Kyoto,1864873,35.2989163,135.258812
12631,Atami,Japan,Shizuoka,1864945,35.0962764,139.0717047
12632,Ashiya,Japan,Hyogo,1864985,34.7269496,135.3041623
12633,Ashikaga,Japan,Tochigi,1865005,36.3401513,139.4496984
12634,Arai,Japan,Niigata,1865207,37.00144,138.2261816
12635,Annaka,Japan,Gunma,1865290,36.3263676,138.8873239
12636,Anjo,Japan,Aichi,1865294,34.9586414,137.080297
12637,Anan,Japan,Tokushima,1865309,33.9218284,134.6595268
12638,Amagi,Japan,Fukuoka,1865375,33.4234125,130.665573
12639,Amagasaki,Japan,Hyogo,1865387,34.7337339,135.4063757
12640,Akune,Japan,Kagoshima,1865401,32.0144696,130.1927734
12641,Kariya,Japan,Hyogo,1865412,34.5155998,134.9871044
12642,Aki,Japan,Kochi,1865449,33.5025463,133.9071661
